,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
0,60,2016-05-23,510900,H股ETF,买入,0.857,0.857,12000.0,10284.0,0.77,10284.77,华泰证券,海外新兴,香港,国企,212,无
1,66,2016-06-03,510900,H股ETF,买入,0.905,0.905,11100.0,10045.5,4.22,10049.72,华泰证券,海外新兴,香港,国企,212,无
2,67,2016-06-06,510900,H股ETF,买入,0.904,0.904,11100.0,10034.4,2.12,10036.52,华泰证券,海外新兴,香港,国企,212,无
3,68,2016-06-13,510900,H股ETF,买入,0.897,0.897,22400.0,20092.8,2.13,20094.93,华泰证券,海外新兴,香港,国企,212,无
4,69,2016-06-13,510900,H股ETF,买入,0.892,0.892,11300.0,10079.6,4.35,10083.95,华泰证券,海外新兴,香港,国企,212,无
5,70,2016-06-16,510900,H股ETF,买入,0.884,0.884,11500.0,10166.0,4.27,10170.27,华泰证券,海外新兴,香港,国企,212,无
6,71,2016-06-20,510900,H股ETF,卖出,0.9,0.9,23000.0,20700.0,4.21,20695.79,华泰证券,海外新兴,香港,国企,212,无
7,72,2016-06-22,510900,H股ETF,卖出,0.915,0.915,22200.0,20313.0,5.7,20307.3,华泰证券,海外新兴,香港,国企,212,无
8,73,2016-06-24,510900,H股ETF,买入,0.88,0.88,22800.0,20064.0,4.22,20068.22,华泰证券,海外新兴,香港,国企,212,无
9,76,2016-06-30,510900,H股ETF,卖出,0.929,0.929,23000.0,21367.0,3.1,21363.9,华泰证券,海外新兴,香港,国企,212,无
10,106,2016-12-22,510900,H股ETF,买入,1.036,1.036,22000.0,22792.0,4.56,22796.56,华泰证券,海外新兴,香港,国企,212,无
11,107,2016-12-22,510900,H股ETF,买入,1.034,1.034,10000.0,10340.0,2.07,10342.07,华泰证券,海外新兴,香港,国企,212,无
12,108,2017-01-11,510900,H股ETF,卖出,1.078,1.078,19000.0,20477.9,4.1,20473.8,华泰证券,海外新兴,香港,国企,212,证券卖出
13,112,2017-01-18,510900,H股ETF,卖出,1.079,1.079,20300.0,21899.32,4.38,21894.94,华泰证券,海外新兴,香港,国企,212,证券卖出
14,122,2017-02-15,510900,H股ETF,买入,1.145,1.145,10300.0,11795.86,2.36,11798.22,华泰证券,海外新兴,香港,国企,212,证券买入
15,123,2017-02-16,510900,H股ETF,买入,1.151,1.151,36800.0,42365.27,8.47,42373.74,华泰证券,海外新兴,香港,国企,212,证券买入
16,124,2017-02-17,510900,H股ETF,买入,1.138,1.138,10200.0,11609.92,2.32,11612.24,华泰证券,海外新兴,香港,国企,212,证券买入
17,127,2017-03-16,510900,H股ETF,卖出,1.151,1.151,42000.0,48332.33,9.67,48322.66,华泰证券,海外新兴,香港,国企,212,证券卖出
18,129,2017-04-11,510900,H股ETF,买入,1.114,1.114,10800.0,12033.61,2.41,12036.02,华泰证券,海外新兴,香港,国企,212,证券买入
19,141,2017-05-23,510900,H股ETF,卖出,1.14,1.14,10000.0,11397.72,2.28,11395.44,华泰证券,海外新兴,香港,国企,212,证券卖出
20,143,2017-05-25,510900,H股ETF,卖出,1.151,1.151,42800.0,49252.95,9.85,49243.1,华泰证券,海外新兴,香港,国企,212,证券卖出
