,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
0,39,2016-04-13,159920,恒生ETF,买入,1.04,1.04,600.0,624.0,0.13,624.13,华泰证券,海外新兴,香港,恒生,211,无
1,44,2016-04-19,159920,恒生ETF,卖出,1.076,1.076,600.0,645.6,0.14,645.46,华泰证券,海外新兴,香港,恒生,211,无
2,56,2016-05-04,159920,恒生ETF,买入,1.039,1.039,3300.0,3428.7,0.72,3429.42,华泰证券,海外新兴,香港,恒生,211,无
3,61,2016-05-23,159920,恒生ETF,买入,1.018,1.018,10300.0,10485.4,2.2,10487.6,华泰证券,海外新兴,香港,恒生,211,无
4,78,2016-06-30,159920,恒生ETF,卖出,1.085,1.085,13600.0,14756.0,3.1,14752.9,华泰证券,海外新兴,香港,恒生,211,无
5,103,2016-12-21,159920,恒生ETF,买入,1.204,1.204,19000.0,22880.58,4.58,22885.16,华泰证券,海外新兴,香港,恒生,211,无
6,105,2016-12-21,159920,恒生ETF,买入,1.205,1.205,19000.0,22899.58,4.58,22904.16,华泰证券,海外新兴,香港,恒生,211,无
7,104,2016-12-21,159920,恒生ETF,买入,1.206,1.206,19000.0,22918.58,4.58,22923.16,华泰证券,海外新兴,香港,恒生,211,无
8,109,2017-01-11,159920,恒生ETF,卖出,1.255,1.255,16000.0,20075.98,4.02,20071.96,华泰证券,海外新兴,香港,恒生,211,证券卖出
9,113,2017-01-18,159920,恒生ETF,卖出,1.26,1.26,17500.0,22045.59,4.41,22041.18,华泰证券,海外新兴,香港,恒生,211,证券卖出
10,116,2017-01-26,159920,恒生ETF,卖出,1.275,1.275,12000.0,15296.94,3.06,15293.88,华泰证券,海外新兴,香港,恒生,211,证券卖出
11,118,2017-02-09,159920,恒生ETF,卖出,1.295,1.295,11400.0,14760.05,2.95,14757.1,华泰证券,海外新兴,香港,恒生,211,证券卖出
12,148,2017-11-24,159920,恒生ETF,卖出,1.602,1.602,100.0,160.1,0.1,160.0,华泰证券,海外新兴,香港,恒生,211,证券卖出
13,698,2020-02-28,159920,恒生ETF,买入,1.446,1.446,1700.0,2458.2,0.25,2458.45,华宝证券,海外新兴,香港,恒生,211,无
14,713,2020-03-09,159920,恒生ETF,买入,1.384,1.384,1800.0,2491.2,0.25,2491.45,华宝证券,海外新兴,香港,恒生,211,无
15,776,2020-03-19,159920,恒生ETF,买入,1.234,1.234,4100.0,5059.4,0.51,5059.91,华宝证券,海外新兴,香港,恒生,211,无
16,773,2020-03-19,159920,恒生ETF,买入,1.243,1.243,2000.0,2486.0,0.25,2486.25,华宝证券,海外新兴,香港,恒生,211,无
17,836,2020-04-27,159920,恒生ETF,卖出,1.358,1.358,6100.0,8283.8,0.83,8282.97,华宝证券,海外新兴,香港,恒生,211,无
