,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
0,41,2016-04-18,162411,华宝油气,买入,0.514,0.514,1200.0,616.8,0.13,616.93,华泰证券,商品,商品,原油,613,无
1,43,2016-04-19,162411,华宝油气,卖出,0.537,0.537,1200.0,644.4,0.14,644.26,华泰证券,商品,商品,原油,613,无
2,46,2016-04-22,162411,华宝油气,买入,0.554,0.554,2700.0,1495.8,0.31,1496.11,华泰证券,商品,商品,原油,613,无
3,49,2016-04-27,162411,华宝油气,买入,0.581,0.581,2600.0,1510.6,0.32,1510.92,华泰证券,商品,商品,原油,613,无
4,52,2016-05-03,162411,华宝油气,买入,0.584,0.584,60000.0,35040.0,7.36,35047.36,华泰证券,商品,商品,原油,613,无
5,65,2016-06-02,162411,华宝油气,卖出,0.584,0.584,65300.0,38135.2,8.01,38127.19,华泰证券,商品,商品,原油,613,无
6,75,2016-06-28,162411,华宝油气,买入,0.558,0.558,36000.0,20088.0,4.22,20092.22,华泰证券,商品,商品,原油,613,无
7,81,2016-07-29,162411,华宝油气,买入,0.557,0.557,36000.0,20052.0,4.21,20056.21,华泰证券,商品,商品,原油,613,无
8,87,2016-08-12,162411,华宝油气,卖出,0.589,0.589,72000.0,42399.09,8.91,42390.18,华泰证券,商品,商品,原油,613,无
9,92,2016-09-26,162411,华宝油气,买入,0.602,0.602,5500.0,3311.7,0.7,3312.4,华泰证券,商品,商品,原油,613,无
10,94,2016-10-10,162411,华宝油气,卖出,0.632,0.632,5500.0,3475.27,0.73,3474.54,华泰证券,商品,商品,原油,613,无
11,97,2016-11-08,162411,华宝油气,买入,0.602,0.602,167000.0,100555.11,21.11,100576.22,华泰证券,商品,商品,原油,613,无
12,98,2016-11-09,162411,华宝油气,买入,0.585,0.585,74900.0,43825.7,9.2,43834.9,华泰证券,商品,商品,原油,613,无
13,101,2016-11-16,162411,华宝油气,卖出,0.645,0.645,156000.0,100598.87,21.13,100577.74,华泰证券,商品,商品,原油,613,无
14,102,2016-11-17,162411,华宝油气,卖出,0.647,0.647,85900.0,55565.63,11.67,55553.96,华泰证券,商品,商品,原油,613,无
15,117,2017-02-08,162411,华宝油气,买入,0.673,0.673,75000.0,50485.1,10.1,50495.2,华泰证券,商品,商品,原油,613,证券买入
16,119,2017-02-09,162411,华宝油气,买入,0.676,0.676,21800.0,14739.75,2.95,14742.7,华泰证券,商品,商品,原油,613,证券买入
