,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
0,154,2018-01-19,512980,传媒ETF,买入,1.0,1.0,4000.0,4000.8,0.8,4001.6,华泰证券,A 股,行业股,中证传媒,144,证券买入
1,178,2018-05-15,512980,传媒ETF,买入,0.946,0.946,6800.0,6434.09,1.29,6435.38,华泰证券,A 股,行业股,中证传媒,144,证券买入
2,180,2018-05-25,512980,传媒ETF,买入,0.946,0.946,6800.0,6434.09,1.29,6435.38,华泰证券,A 股,行业股,中证传媒,144,证券买入
3,202,2018-07-16,512980,传媒ETF,买入,0.818,0.818,7800.0,6381.68,1.28,6382.96,华泰证券,A 股,行业股,中证传媒,144,证券买入
4,215,2018-08-20,512980,传媒ETF,买入,0.732,0.732,8700.0,6369.67,1.27,6370.94,华泰证券,A 股,行业股,中证传媒,144,证券买入
5,816,2020-04-10,512980,传媒ETF,买入,0.808,0.808,3100.0,2504.8,0.25,2505.05,华宝证券,A 股,行业股,中证传媒,144,无
6,826,2020-04-17,512980,传媒ETF,卖出,0.833,0.833,2900.0,2415.7,0.24,2415.46,华宝证券,A 股,行业股,中证传媒,144,无
7,824,2020-04-17,512980,传媒ETF,卖出,0.833,0.833,2900.0,2415.7,0.24,2415.46,华宝证券,A 股,行业股,中证传媒,144,无
8,841,2020-04-28,512980,传媒ETF,买入,0.788,0.788,3100.0,2442.8,0.24,2443.04,华宝证券,A 股,行业股,中证传媒,144,无
9,839,2020-04-28,512980,传媒ETF,卖出,0.814,0.814,3100.0,2523.4,0.5,2522.9,华泰证券,A 股,行业股,中证传媒,144,证券卖出
