,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
38,39,2016-04-13,159920,恒生ETF,买入,1.04,1.04,600.0,624.0,0.13,624.13,华泰证券,海外新兴,香港,恒生,211,无
43,44,2016-04-19,159920,恒生ETF,卖出,1.076,1.076,600.0,645.6,0.14,645.46,华泰证券,海外新兴,香港,恒生,211,无
55,56,2016-05-04,159920,恒生ETF,买入,1.039,1.039,3300.0,3428.7,0.72,3429.42,华泰证券,海外新兴,香港,恒生,211,无
58,61,2016-05-23,159920,恒生ETF,买入,1.018,1.018,10300.0,10485.4,2.2,10487.6,华泰证券,海外新兴,香港,恒生,211,无
73,78,2016-06-30,159920,恒生ETF,卖出,1.085,1.085,13600.0,14756.0,3.1,14752.9,华泰证券,海外新兴,香港,恒生,211,无
97,103,2016-12-21,159920,恒生ETF,买入,1.204,1.204,19000.0,22880.58,4.58,22885.16,华泰证券,海外新兴,香港,恒生,211,无
98,104,2016-12-21,159920,恒生ETF,买入,1.206,1.206,19000.0,22918.58,4.58,22923.16,华泰证券,海外新兴,香港,恒生,211,无
99,105,2016-12-21,159920,恒生ETF,买入,1.205,1.205,19000.0,22899.58,4.58,22904.16,华泰证券,海外新兴,香港,恒生,211,无
103,109,2017-01-11,159920,恒生ETF,卖出,1.255,1.255,16000.0,20075.98,4.02,20071.96,华泰证券,海外新兴,香港,恒生,211,证券卖出
105,113,2017-01-18,159920,恒生ETF,卖出,1.26,1.26,17500.0,22045.59,4.41,22041.18,华泰证券,海外新兴,香港,恒生,211,证券卖出
106,116,2017-01-26,159920,恒生ETF,卖出,1.275,1.275,12000.0,15296.94,3.06,15293.88,华泰证券,海外新兴,香港,恒生,211,证券卖出
108,118,2017-02-09,159920,恒生ETF,卖出,1.295,1.295,11400.0,14760.05,2.95,14757.1,华泰证券,海外新兴,香港,恒生,211,证券卖出
129,148,2017-11-24,159920,恒生ETF,卖出,1.602,1.602,100.0,160.1,0.1,160.0,华泰证券,海外新兴,香港,恒生,211,证券卖出
