,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
77,82,2016-08-02,511010,国债ETF,买入,112.709,112.709,900.0,101438.0,0.0,101438.0,华泰证券,债券,国内债券,纯债,511,无
78,83,2016-08-02,511010,国债ETF,买入,112.641,112.641,900.0,101377.0,0.0,101377.0,华泰证券,债券,国内债券,纯债,511,无
81,86,2016-08-11,511010,国债ETF,买入,113.163,113.163,900.0,101847.0,0.0,101847.0,华泰证券,债券,国内债券,纯债,511,无
83,88,2016-08-12,511010,国债ETF,买入,113.022,113.022,300.0,33906.6,0.0,33906.6,华泰证券,债券,国内债券,纯债,511,无
84,89,2016-08-15,511010,国债ETF,买入,112.877,112.877,100.0,11287.7,0.0,11287.7,华泰证券,债券,国内债券,纯债,511,无
85,90,2016-08-19,511010,国债ETF,买入,112.907,112.907,100.0,11290.7,0.0,11290.7,华泰证券,债券,国内债券,纯债,511,无
89,95,2016-10-25,511010,国债ETF,买入,113.702,113.702,200.0,22740.4,0.0,22740.4,华泰证券,债券,国内债券,纯债,511,无
90,96,2016-11-03,511010,国债ETF,卖出,113.446,113.446,900.0,102101.0,0.0,102101.0,华泰证券,债券,国内债券,纯债,511,无
93,99,2016-11-09,511010,国债ETF,卖出,113.524,113.524,900.0,102172.0,0.0,102172.0,华泰证券,债券,国内债券,纯债,511,无
94,100,2016-11-16,511010,国债ETF,卖出,112.915,112.915,1600.0,180664.0,0.0,180664.0,华泰证券,债券,国内债券,纯债,511,无
