,id,date,code,name,dealType,nav_unit,nav_acc,volume,dealMoney,fee,occurMoney,account,category1,category2,category3,categoryId,note
20,285,2019-04-23,519671,银河沪深300价值指数,买入,1.704,1.704,58.18,99.26,0.12,99.38,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_2606405524385751990
26,293,2019-04-30,519671,银河沪深300价值指数,买入,1.678,1.678,62.01,104.17,0.12,104.29,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_2768751650840551416
32,299,2019-05-07,519671,银河沪深300价值指数,买入,1.614,1.614,70.38,113.74,0.14,113.88,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_2930931725068463438
38,305,2019-05-14,519671,银河沪深300价值指数,买入,1.575,1.575,74.92,118.14,0.14,118.28,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3093361449605581064
45,316,2019-05-21,519671,银河沪深300价值指数,买入,1.583,1.583,49.15,77.9,0.09,77.99,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3255511550447887877
51,322,2019-05-21,519671,银河沪深300价值指数,买入,1.583,1.583,75.51,119.68,0.14,119.82,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3255501728662989617
58,329,2019-05-28,519671,银河沪深300价值指数,买入,1.595,1.595,73.47,117.32,0.14,117.46,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3419792940076145146
64,337,2019-06-04,519671,银河沪深300价值指数,买入,1.577,1.577,74.62,117.82,0.14,117.96,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3580330399145983537
69,342,2019-06-11,519671,银河沪深300价值指数,买入,1.629,1.629,70.86,115.57,0.14,115.71,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3742727836853639752
76,350,2019-06-18,519671,银河沪深300价值指数,买入,1.614,1.614,71.16,115.0,0.14,115.14,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_3906118804733730700
82,361,2019-06-25,519671,银河沪深300价值指数,买入,1.652,1.652,64.31,106.37,0.13,106.5,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_4071207024000544711
89,370,2019-07-02,519671,银河沪深300价值指数,买入,1.693,1.693,61.13,103.62,0.12,103.74,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_4229775585320141261
95,376,2019-07-09,519671,银河沪深300价值指数,买入,1.649,1.649,66.21,109.31,0.13,109.44,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_117635938868961285
101,383,2019-07-16,519671,银河沪深300价值指数,买入,1.662,1.662,65.75,109.4,0.13,109.53,康力泉_蛋卷_螺丝钉指数基金组合,A 股,大盘股,300价值,114,螺丝钉指数基金组合_120172240877010949
